time,open,high,low,close,tick_volume
2024-01-01 00:00:00,2050.50,2051.20,2049.80,2050.90,1234
2024-01-01 00:15:00,2050.90,2052.00,2050.50,2051.50,2345
2024-01-01 00:30:00,2051.50,2051.80,2050.20,2050.60,1876
2024-01-01 00:45:00,2050.60,2051.50,2050.00,2051.20,1543
2024-01-01 01:00:00,2051.20,2052.50,2051.00,2052.30,2234
2024-01-01 01:15:00,2052.30,2053.00,2051.80,2052.50,1987
2024-01-01 01:30:00,2052.50,2052.80,2051.50,2052.00,1654
2024-01-01 01:45:00,2052.00,2052.50,2050.80,2051.30,1432
2024-01-01 02:00:00,2051.30,2052.20,2050.50,2051.80,1765
2024-01-01 02:15:00,2051.80,2052.60,2051.20,2052.40,1898
